employee_number,name,date,start_time,end_time,break_time
10000000,skadi,2024/8/1,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/2,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/3,,,,
10000000,skadi,2024/8/4,,,,
10000000,skadi,2024/8/5,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/6,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/7,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/8,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/9,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/10,,,,
10000000,skadi,2024/8/11,,,,
10000000,skadi,2024/8/12,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/13,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/14,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/15,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/16,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/17,,,,
10000000,skadi,2024/8/18,,,,
10000000,skadi,2024/8/19,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/20,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/21,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/22,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/23,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/24,,,,
10000000,skadi,2024/8/25,,,,
10000000,skadi,2024/8/26,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/27,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/28,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/29,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/30,9:00:00,18:00:00,1:00:00,
10000000,skadi,2024/8/31,,,,
